2024-03-26_11-38-09_remote-1spatial maze.txt,id=23,id=7,04:20:29
2024-03-26_11-38-21,-42.22139,-2.402376,292.4742,14
2024-03-26_11-38-22,-42.22441,-2.397425,295.9385,14
2024-03-26_11-38-23,-42.23159,-2.395836,292.7774,14
2024-03-26_11-38-24,-42.22753,-2.39232,295.5727,14
2024-03-26_11-38-25,-42.23048,-2.398978,292.4013,14
2024-03-26_11-38-26,-42.23731,-2.408564,286.1272,14
2024-03-26_11-38-27,-42.23942,-2.403657,288.5198,14
2024-03-26_11-38-28,-42.24202,-2.395073,293.1906,14
2024-03-26_11-38-29,-42.22972,-2.385285,301.8495,14
2024-03-26_11-38-30,-42.14771,-2.382218,347.0634,14
2024-03-26_11-38-31,-42.21603,-2.358942,294.9148,12
2024-03-26_11-38-32,-42.25872,-2.451787,259.9891,12
2024-03-26_11-38-33,-42.24158,-2.520129,237.0362,12
2024-03-26_11-38-34,-42.21832,-2.551688,206.9427,12
2024-03-26_11-38-35,-42.29697,-2.472641,258.2682,12
2024-03-26_11-38-36,-42.59861,-2.442339,265.0454,12
2024-03-26_11-38-37,-42.88339,-2.438852,257.3393,13
2024-03-26_11-38-38,-43.46678,-2.399545,263.5824,15
2024-03-26_11-38-39,-44.1268,-2.422335,263.0893,15
2024-03-26_11-38-40,-44.39354,-2.439384,260.7078,15
2024-03-26_11-38-41,-45.20078,-2.49474,258.1788,15
2024-03-26_11-38-42,-45.84631,-2.601118,255.0977,11
2024-03-26_11-38-43,-46.10041,-2.635339,251.8941,11
2024-03-26_11-38-44,-46.07954,-2.71543,221.2916,11
2024-03-26_11-38-45,-46.07205,-2.848716,211.3506,11
2024-03-26_11-38-46,-46.21757,-3.26071,204.1527,11
2024-03-26_11-38-47,-46.21962,-3.571075,201.0475,11
2024-03-26_11-38-48,-46.24567,-3.927507,192.193,11
2024-03-26_11-38-49,-46.25281,-4.55422,195.1754,11
2024-03-26_11-38-50,-46.28183,-5.259549,196.2578,9
2024-03-26_11-38-51,-46.35073,-5.991556,191.6978,11
2024-03-26_11-38-52,-46.33646,-6.572078,193.7995,11
2024-03-26_11-38-53,-46.46957,-7.536741,200.9378,10
2024-03-26_11-38-54,-46.55064,-8.425337,200.4567,10
2024-03-26_11-38-55,-46.6454,-9.170532,203.5126,11
2024-03-26_11-38-56,-46.77797,-10.60681,197.7048,10
2024-03-26_11-38-57,-46.69502,-11.66394,194.1648,10
2024-03-26_11-38-58,-46.69596,-12.34013,193.7366,9
2024-03-26_11-38-59,-46.7069,-13.31133,192.5754,10
2024-03-26_11-39-00,-46.59078,-14.43897,199.0422,8
2024-03-26_11-39-01,-46.62817,-15.20556,193.9906,7
2024-03-26_11-39-02,-46.59049,-16.63517,178.0672,7
2024-03-26_11-39-03,-46.40534,-16.76648,127.276,6
2024-03-26_11-39-04,-46.10767,-16.7759,144.7265,7
2024-03-26_11-39-05,-45.77114,-17.32992,119.6973,6
2024-03-26_11-39-06,-45.09119,-17.455,130.4636,6
2024-03-26_11-39-07,-44.09748,-17.47503,140.8951,9
2024-03-26_11-39-08,-42.88838,-17.58543,122.5438,8
2024-03-26_11-39-09,-41.23708,-17.99847,148.3295,7
2024-03-26_11-39-10,-39.71442,-18.49593,154.475,8
2024-03-26_11-39-11,-38.901,-19.10427,164.6187,9
2024-03-26_11-39-12,-38.84714,-19.13635,160.2359,8
2024-03-26_11-39-13,-38.7798,-19.21826,169.4632,8
2024-03-26_11-39-14,-36.19019,-21.81687,151.586,9
2024-03-26_11-39-15,-36.00376,-22.01528,109.0901,7
2024-03-26_11-39-16,-36.01184,-21.91506,117.824,7
2024-03-26_11-39-17,-36.08031,-21.90389,132.5878,6
2024-03-26_11-39-18,-35.73817,-22.34272,132.3744,6
2024-03-26_11-39-19,-33.82157,-22.72227,113.0246,5
2024-03-26_11-39-20,-33.70898,-22.54764,345.6842,4
2024-03-26_11-39-21,-33.28698,-21.15656,343.8299,3
2024-03-26_11-39-22,-32.45053,-19.2789,340.7001,5
2024-03-26_11-39-23,-32.38783,-19.29042,112.4207,5
2024-03-26_11-39-24,-32.39722,-19.34091,129.4586,3
2024-03-26_11-39-25,-32.41055,-19.31371,119.0547,3
2024-03-26_11-39-26,-32.39879,-19.28809,113.7013,3
2024-03-26_11-39-27,-32.38968,-19.24454,108.8598,3
2024-03-26_11-39-28,-32.401,-19.26259,112.8865,3
2024-03-26_11-39-29,-32.3936,-19.26352,113.5807,2
2024-03-26_11-39-30,-32.40209,-19.26588,113.1861,2
2024-03-26_11-39-31,-32.4241,-19.27187,110.3633,3
2024-03-26_11-39-32,-32.423,-19.27166,109.3731,3
2024-03-26_11-39-33,-32.42524,-19.27374,112.8193,1
2024-03-26_11-39-34,-32.4171,-19.27449,114.4343,1
2024-03-26_11-39-35,-32.0051,-19.14232,127.6254,1
2024-03-26_11-39-36,-29.94001,-18.86643,122.7552,3
2024-03-26_11-39-37,-27.59418,-19.18106,183.0524,3
2024-03-26_11-39-38,-27.23053,-19.91133,183.5127,3
2024-03-26_11-39-39,-26.10946,-22.25932,132.042,3
2024-03-26_11-39-40,-26.18085,-22.01591,322.9435,6
2024-03-26_11-39-41,-27.12498,-20.00349,290.9489,6
2024-03-26_11-39-42,-28.33723,-18.92646,282.5446,4
2024-03-26_11-39-43,-30.1918,-18.60135,246.729,4
2024-03-26_11-39-44,-30.98949,-19.34557,229.5968,5
2024-03-26_11-39-45,-31.30745,-19.55007,231.0561,2
2024-03-26_11-39-46,-33.94394,-21.10036,260.7366,4
2024-03-26_11-39-47,-33.88213,-21.13383,281.1144,4
2024-03-26_11-39-48,-33.63519,-21.01657,356.3287,5
2024-03-26_11-39-49,-33.6493,-21.02903,357.8164,4
2024-03-26_11-39-50,-33.64938,-21.01847,1.580516,5
2024-03-26_11-39-51,-33.84152,-21.09176,282.2581,5
2024-03-26_11-39-52,-33.86175,-21.09652,283.8444,5
2024-03-26_11-39-53,-33.70196,-21.0649,355.8206,5
2024-03-26_11-39-54,-33.82362,-21.07318,294.7109,4
2024-03-26_11-39-55,-33.99135,-21.18054,258.3619,4
2024-03-26_11-39-56,-33.96918,-21.36031,250.5126,4
2024-03-26_11-39-57,-33.97695,-21.88974,253.4413,3
2024-03-26_11-39-58,-34.72809,-22.42152,262.5719,3
2024-03-26_11-39-59,-37.21625,-21.98542,300.7138,5
2024-03-26_11-40-00,-37.31408,-21.90427,312.564,6
2024-03-26_11-40-01,-37.51636,-21.26231,315.8791,5
2024-03-26_11-40-02,-38.4692,-18.61777,296.0365,6
2024-03-26_11-40-03,-39.27019,-17.68011,269.5406,6
2024-03-26_11-40-04,-41.55814,-17.19596,287.0836,8
2024-03-26_11-40-05,-42.37731,-16.66208,300.8029,7
2024-03-26_11-40-06,-42.50653,-16.78057,254.2207,8
2024-03-26_11-40-07,-43.01247,-16.82282,256.1128,8
2024-03-26_11-40-08,-44.21339,-17.21378,264.4112,9
2024-03-26_11-40-09,-45.83746,-17.39288,271.4439,8
2024-03-26_11-40-10,-46.15534,-17.38761,275.9067,11
2024-03-26_11-40-11,-46.50695,-17.03976,320.187,13
2024-03-26_11-40-12,-46.50381,-16.9414,314.4109,12
2024-03-26_11-40-13,-46.7825,-13.68064,327.8302,13
2024-03-26_11-40-14,-47.13684,-10.12919,316.2144,11
2024-03-26_11-40-15,-47.32722,-8.871149,313.8213,11
2024-03-26_11-40-16,-47.33677,-8.831879,325.149,9
2024-03-26_11-40-17,-47.37006,-8.772432,323.4789,7
2024-03-26_11-40-18,-47.43412,-6.005042,322.1739,7
2024-03-26_11-40-19,-46.97062,-3.61796,118.0779,7
2024-03-26_11-40-20,-46.90926,-3.552706,126.4131,6
2024-03-26_11-40-21,-46.89668,-3.567408,119.1561,5
2024-03-26_11-40-22,-46.64352,-3.536573,128.7336,5
2024-03-26_11-40-23,-46.38836,-3.492453,131.6803,5
2024-03-26_11-40-24,-44.56059,-3.309024,125.4242,4
2024-03-26_11-40-25,-43.76107,-3.518441,159.1857,4
2024-03-26_11-40-26,-43.68672,-3.578295,168.218,4
2024-03-26_11-40-27,-42.76091,-4.479225,156.353,4
2024-03-26_11-40-28,-41.1381,-5.682712,144.0731,4
2024-03-26_11-40-29,-41.13591,-6.201524,156.0826,4
2024-03-26_11-40-30,-40.19568,-7.959024,159.7464,6
2024-03-26_11-40-31,-39.40038,-8.450545,147.2449,9
2024-03-26_11-40-32,-36.8026,-9.957846,147.3583,7
2024-03-26_11-40-33,-36.11716,-10.60848,139.2077,8
2024-03-26_11-40-34,-36.10001,-11.30981,140.2711,8
2024-03-26_11-40-35,-36.10909,-11.48867,103.1957,7
2024-03-26_11-40-36,-36.11763,-11.4582,101.7083,7
2024-03-26_11-40-37,-36.08008,-11.45364,111.4636,7
2024-03-26_11-40-38,-36.15585,-10.86604,143.4529,8
2024-03-26_11-40-39,-36.31464,-10.94603,209.5543,7
2024-03-26_11-40-40,-36.68885,-12.00458,186.5624,7
2024-03-26_11-40-41,-36.11456,-12.01476,113.051,7
2024-03-26_11-40-42,-36.1244,-12.01084,128.4397,8
2024-03-26_11-40-43,-36.17062,-12.03824,120.1925,8
2024-03-26_11-40-44,-36.16247,-12.04098,125.7839,6
2024-03-26_11-40-45,-36.15868,-12.02268,115.7916,6
2024-03-26_11-40-46,-36.1541,-12.02108,115.3827,6
2024-03-26_11-40-47,-36.15349,-12.02047,111.517,6
2024-03-26_11-40-48,-36.15936,-12.02108,116.1893,8
