2024-03-26_12-35-13_remote-2haptics maze.txt,id1=25,id2=24,04:28:41
2024-03-26_12-37-12,46.5327,-47.7995,20.48485,10
2024-03-26_12-37-13,46.48727,-47.78482,8.684545,10
2024-03-26_12-37-14,46.46981,-47.80156,2.90087,10
2024-03-26_12-37-15,46.46434,-47.80693,2.852566,10
2024-03-26_12-37-17,46.45573,-47.80534,4.712796,10
2024-03-26_12-37-18,46.44699,-47.8165,5.529417,10
2024-03-26_12-37-19,45.52045,-47.42347,5.563739,10
2024-03-26_12-37-20,41.45096,-43.90281,18.20923,9
2024-03-26_12-37-21,41.00298,-43.26393,355.5261,8
2024-03-26_12-37-22,38.42552,-45.3768,67.59082,8
2024-03-26_12-37-23,38.07376,-45.66367,355.8457,9
2024-03-26_12-37-24,36.48363,-46.33302,4.038142,8
2024-03-26_12-37-25,36.50064,-46.07145,359.2909,11
2024-03-26_12-37-26,35.68653,-47.84089,5.299503,11
2024-03-26_12-37-27,33.3575,-46.86699,12.2973,11
2024-03-26_12-37-28,33.28915,-46.73027,16.94234,6
2024-03-26_12-37-29,32.12136,-44.62239,14.69634,7
2024-03-26_12-37-30,29.8234,-42.32465,351.4176,5
2024-03-26_12-37-31,29.87379,-42.6811,54.3251,6
2024-03-26_12-37-32,32.1529,-44.82057,68.18826,7
2024-03-26_12-37-33,30.63813,-47.2931,359.3962,9
2024-03-26_12-37-34,28.35771,-47.09867,356.0822,7
2024-03-26_12-37-35,25.21979,-47.11482,0.4850387,7
2024-03-26_12-37-36,23.07292,-45.74741,6.758671,6
2024-03-26_12-37-37,21.58059,-45.4297,356.1517,4
2024-03-26_12-37-38,21.41136,-46.95982,3.159816,4
2024-03-26_12-37-39,20.18579,-47.19914,7.870458,7
2024-03-26_12-37-40,18.87214,-46.54049,20.20511,7
2024-03-26_12-37-41,18.10753,-45.49752,13.31097,5
2024-03-26_12-37-42,15.99979,-43.88167,5.782674,5
2024-03-26_12-37-43,12.54605,-41.56108,17.89016,6
2024-03-26_12-37-44,12.24713,-40.91011,21.67518,6
2024-03-26_12-37-45,12.19493,-40.85449,23.88024,6
2024-03-26_12-37-46,12.18548,-40.84535,22.36426,6
2024-03-26_12-37-47,12.19754,-40.86443,9.135389,5
2024-03-26_12-37-48,10.21153,-36.95074,8.316947,1
2024-03-26_12-37-49,9.558414,-36.97929,8.062902,1
2024-03-26_12-37-50,7.550374,-35.64884,10.06205,1
2024-03-26_12-37-51,7.383505,-34.56912,37.02122,1
2024-03-26_12-37-52,7.810431,-34.42395,42.37605,1
2024-03-26_12-37-53,11.42136,-32.889,40.2141,3
2024-03-26_12-37-54,13.19311,-32.73195,44.95644,2
2024-03-26_12-37-55,15.38364,-32.32483,42.93393,2
2024-03-26_12-37-56,21.77323,-31.7043,19.99186,3
2024-03-26_12-37-57,21.4141,-29.27001,6.080039,4
2024-03-26_12-37-58,18.05129,-28.19414,359.4931,4
2024-03-26_12-37-59,16.48301,-27.5467,349.6293,7
2024-03-26_12-38-00,16.56875,-27.60881,63.96093,4
2024-03-26_12-38-01,16.55261,-27.60173,70.90555,4
2024-03-26_12-38-02,16.47966,-27.60089,352.4175,4
2024-03-26_12-38-03,16.46111,-27.51122,7.381426,6
2024-03-26_12-38-05,16.51196,-27.39894,22.14997,7
2024-03-26_12-38-06,16.77908,-26.73867,30.34632,5
2024-03-26_12-38-07,16.94911,-26.49631,39.5616,5
2024-03-26_12-38-08,17.55208,-26.62406,49.18346,5
2024-03-26_12-38-09,17.6665,-26.70073,51.66685,5
2024-03-26_12-38-10,17.7086,-26.63989,47.76461,5
2024-03-26_12-38-11,17.20794,-25.83051,14.48533,3
2024-03-26_12-38-12,16.77785,-24.74376,23.18741,2
2024-03-26_12-38-13,16.8519,-20.25634,25.45334,3
2024-03-26_12-38-14,17.16402,-18.0178,24.72482,3
2024-03-26_12-38-15,17.77877,-16.07154,32.39534,3
2024-03-26_12-38-16,18.19761,-14.75838,25.58593,3
2024-03-26_12-38-17,19.09855,-11.92489,38.9191,4
2024-03-26_12-38-18,19.43696,-12.04929,54.19164,3
