2024-03-26_13-56-26_player-2spatial maze.txt,id1=5,id2=6,02:43:98
2024-03-26_13-57-01,45.27522,47.86979,300.2462,17
2024-03-26_13-57-02,45.24343,47.85532,263.1186,17
2024-03-26_13-57-02,45.23833,47.85022,263.2844,18
2024-03-26_13-57-03,45.24095,47.84853,264.3757,17
2024-03-26_13-57-03,45.25216,47.83379,272.2656,17
2024-03-26_13-57-04,45.254,47.80869,277.72,18
2024-03-26_13-57-04,44.93591,47.82335,289.8694,17
2024-03-26_13-57-05,44.76069,47.83081,284.9906,19
2024-03-26_13-57-05,42.63248,47.9133,282.2383,17
2024-03-26_13-57-06,42.09976,47.90369,273.8983,15
2024-03-26_13-57-06,40.6475,47.56917,272.0865,15
2024-03-26_13-57-07,40.313,47.503,272.3045,14
2024-03-26_13-57-07,39.54144,47.48375,275.6909,14
2024-03-26_13-57-08,39.09206,47.46678,271.9948,14
2024-03-26_13-57-08,38.34779,47.46454,271.6731,15
2024-03-26_13-57-09,37.51155,47.46077,267.8888,13
2024-03-26_13-57-09,37.07412,47.45754,265.6829,13
2024-03-26_13-57-10,36.01684,47.45336,264.109,14
2024-03-26_13-57-10,35.85424,47.4381,259.4749,14
2024-03-26_13-57-11,34.91626,47.43255,256.1971,16
2024-03-26_13-57-11,34.72726,47.40814,239.7053,16
2024-03-26_13-57-12,34.03503,47.30421,233.0542,16
2024-03-26_13-57-12,33.63111,46.92612,236.6724,16
2024-03-26_13-57-13,33.43856,46.60512,227.0631,16
2024-03-26_13-57-13,33.40228,46.45359,220.8559,16
2024-03-26_13-57-14,33.35344,46.22874,233.3099,16
2024-03-26_13-57-14,32.92596,45.30109,234.3919,14
2024-03-26_13-57-15,32.35941,43.94956,269.4379,13
2024-03-26_13-57-15,32.34327,43.80829,220.3907,12
2024-03-26_13-57-16,32.49519,42.08331,212.8992,16
2024-03-26_13-57-16,32.83833,41.08414,197.9884,15
2024-03-26_13-57-17,33.82488,39.20845,181.2606,18
2024-03-26_13-57-17,34.68095,38.54179,86.08131,16
2024-03-26_13-57-18,36.44776,38.0573,58.38003,17
2024-03-26_13-57-18,37.70683,38.04459,38.11109,17
2024-03-26_13-57-19,37.84803,38.14697,9.514023,17
2024-03-26_13-57-19,38.69677,39.28267,31.10572,17
2024-03-26_13-57-20,40.80842,39.86314,50.15237,18
2024-03-26_13-57-20,42.50267,39.94799,46.91617,17
2024-03-26_13-57-21,43.0064,40.02959,44.39089,16
2024-03-26_13-57-21,43.70178,40.04782,55.5467,16
2024-03-26_13-57-22,43.71174,40.03733,60.6477,16
2024-03-26_13-57-22,43.7075,40.1786,23.81058,16
2024-03-26_13-57-23,43.6857,40.72194,27.34273,17
2024-03-26_13-57-23,43.6758,41.09142,37.13324,18
2024-03-26_13-57-24,43.66833,41.66499,47.98507,19
2024-03-26_13-57-24,43.68717,41.90301,39.97729,18
2024-03-26_13-57-25,43.71488,41.92318,75.82408,18
2024-03-26_13-57-25,43.66553,41.42801,78.65678,18
2024-03-26_13-57-26,43.68358,40.86613,53.05514,17
2024-03-26_13-57-26,43.67582,40.8108,43.71409,17
2024-03-26_13-57-27,43.6319,40.88767,24.71081,17
2024-03-26_13-57-27,43.63366,41.31428,29.29311,18
2024-03-26_13-57-28,43.987,42.86707,41.46037,17
2024-03-26_13-57-28,44.56365,42.95217,72.6146,17
2024-03-26_13-57-29,44.78068,42.87275,90.87325,17
2024-03-26_13-57-29,46.40525,42.23003,171.4585,18
2024-03-26_13-57-30,46.91469,41.49514,205.159,17
2024-03-26_13-57-30,47.13632,39.72774,218.3825,16
2024-03-26_13-57-31,47.1841,37.62187,217.2822,16
2024-03-26_13-57-31,47.21018,37.12047,214.4764,14
2024-03-26_13-57-32,47.21505,35.31619,217.4093,12
2024-03-26_13-57-32,47.2048,34.65946,215.2048,13
2024-03-26_13-57-33,47.23795,32.41961,218.1996,12
2024-03-26_13-57-33,47.23993,31.56145,216.9273,13
2024-03-26_13-57-34,47.20193,29.82227,221.4177,12
2024-03-26_13-57-34,47.16347,28.90168,216.8163,13
2024-03-26_13-57-35,47.17365,26.98266,218.4933,14
2024-03-26_13-57-35,47.17739,26.4428,215.7909,14
2024-03-26_13-57-36,47.18814,24.38671,220.0613,13
2024-03-26_13-57-36,47.11959,23.1826,220.1006,14
2024-03-26_13-57-37,46.90859,21.16366,226.1799,14
2024-03-26_13-57-37,46.69539,20.38693,231.4284,13
2024-03-26_13-57-38,45.98128,18.68145,242.4258,12
2024-03-26_13-57-38,44.99456,17.9986,269.6016,13
2024-03-26_13-57-39,43.2377,17.51744,281.7642,13
2024-03-26_13-57-39,40.91624,17.72677,298.9654,12
2024-03-26_13-57-40,40.02936,18.0251,315.1582,12
2024-03-26_13-57-40,39.70139,18.29921,320.4449,12
2024-03-26_13-57-41,38.60956,19.38334,315.6144,13
2024-03-26_13-57-41,37.52745,20.37703,309.3906,13
2024-03-26_13-57-42,36.36332,21.06241,303.4594,12
2024-03-26_13-57-42,36.10017,21.66403,294.4257,12
2024-03-26_13-57-43,36.04832,21.81497,283.1973,12
2024-03-26_13-57-43,36.04335,21.92267,284.5083,12
2024-03-26_13-57-44,35.11082,22.62326,284.1116,12
2024-03-26_13-57-44,34.85014,22.66704,280.1653,12
2024-03-26_13-57-45,33.31285,22.61804,281.7552,12
2024-03-26_13-57-45,32.93063,22.61168,285.6565,12
2024-03-26_13-57-46,30.92938,22.8013,290.8787,11
2024-03-26_13-57-46,30.21966,23.04816,308.187,11
2024-03-26_13-57-47,28.76047,23.92651,294.9106,11
2024-03-26_13-57-47,28.19078,24.08114,280.5305,11
2024-03-26_13-57-48,26.861,24.00724,273.274,11
2024-03-26_13-57-48,25.19119,23.65868,289.4933,11
2024-03-26_13-57-49,23.15118,23.58634,298.9429,10
2024-03-26_13-57-49,22.65266,23.8719,319.5982,9
2024-03-26_13-57-50,22.01786,24.64779,323.1282,9
2024-03-26_13-57-50,21.13357,25.84874,314.6707,10
2024-03-26_13-57-51,21.12501,26.23227,293.0898,9
2024-03-26_13-57-51,21.11893,26.36555,263.8195,9
2024-03-26_13-57-52,21.10332,26.51349,311.0675,9
2024-03-26_13-57-52,21.00668,27.10165,310.5764,10
2024-03-26_13-57-53,20.60134,27.72131,308.442,11
2024-03-26_13-57-53,19.46482,28.59296,314.3062,11
2024-03-26_13-57-54,18.97442,29.14938,328.5617,11
2024-03-26_13-57-54,18.60088,29.93133,336.8177,11
2024-03-26_13-57-55,18.43785,30.615,343.494,11
2024-03-26_13-57-55,18.21958,32.52958,351.2759,13
2024-03-26_13-57-56,18.31721,33.39721,356.6637,11
2024-03-26_13-57-56,18.59468,35.17432,4.529625,13
2024-03-26_13-57-57,18.6264,36.77633,12.94772,13
2024-03-26_13-57-57,18.83812,37.78711,25.26823,14
2024-03-26_13-57-58,20.07585,38.66285,33.79369,14
2024-03-26_13-57-58,21.26404,39.47733,17.76323,14
2024-03-26_13-57-59,21.42646,40.97628,347.7771,16
2024-03-26_13-57-59,21.46336,42.05512,346.8457,16
2024-03-26_13-58-00,21.43733,42.6681,348.8619,16
2024-03-26_13-58-00,21.33283,44.51052,341.3483,15
2024-03-26_13-58-01,21.17352,45.45241,317.4904,14
2024-03-26_13-58-01,21.15012,45.93221,297.0405,15
2024-03-26_13-58-02,21.12803,45.97736,288.9346,15
2024-03-26_13-58-02,21.1086,46.06911,287.2054,15
2024-03-26_13-58-03,21.09886,46.32113,285.3179,13
2024-03-26_13-58-03,21.0987,46.3297,276.8242,13
2024-03-26_13-58-04,21.08538,46.08855,278.0179,15
2024-03-26_13-58-04,21.09052,46.15524,285.6324,15
2024-03-26_13-58-05,21.1037,46.38416,291.6828,13
2024-03-26_13-58-05,21.10552,46.48634,288.8738,13
2024-03-26_13-58-06,21.0966,46.72165,283.5144,12
2024-03-26_13-58-06,21.09627,46.72266,271.5431,12
2024-03-26_13-58-07,21.10486,46.40251,275.0704,13
2024-03-26_13-58-07,21.12365,46.56594,305.6694,13
2024-03-26_13-58-08,20.98468,47.24552,318.1862,12
2024-03-26_13-58-09,20.77917,47.47791,294.4802,13
2024-03-26_13-58-09,20.05135,47.51169,265.2973,14
2024-03-26_13-58-10,19.53638,47.47188,256.8266,14
2024-03-26_13-58-10,18.41938,47.25546,268.4044,15
2024-03-26_13-58-11,17.58031,47.00444,270.3055,14
2024-03-26_13-58-11,16.36627,46.74535,274.8914,14
2024-03-26_13-58-12,16.06577,46.61256,276.2006,13
2024-03-26_13-58-12,16.08704,46.43243,285.0758,14
2024-03-26_13-58-13,16.08501,46.42292,294.729,14
2024-03-26_13-58-13,16.1048,46.51191,300.4807,14
2024-03-26_13-58-14,16.11583,46.58864,301.5552,14
2024-03-26_13-58-14,15.79734,47.50603,299.996,13
2024-03-26_13-58-15,14.67478,48.18147,288.4709,14
2024-03-26_13-58-15,14.38538,48.25692,272.0564,15
2024-03-26_13-58-16,14.18471,48.20688,266.9062,15
2024-03-26_13-58-16,13.30744,47.91756,270.2134,15
2024-03-26_13-58-17,12.68063,47.72989,273.5381,15
2024-03-26_13-58-17,11.23588,47.46163,270.8642,13
2024-03-26_13-58-18,10.78284,47.45831,258.0551,12
2024-03-26_13-58-18,9.173908,47.47171,267.4387,12
2024-03-26_13-58-19,8.687075,47.45939,267.6888,11
2024-03-26_13-58-19,7.671882,47.09128,268.5268,11
2024-03-26_13-58-20,6.745466,46.79637,268.6516,11
2024-03-26_13-58-20,6.070654,46.54047,272.4014,12
2024-03-26_13-58-21,6.083796,46.22649,278.9648,11
2024-03-26_13-58-21,6.057454,46.26839,299.8867,12
2024-03-26_13-58-22,6.077305,46.48824,302.1299,12
2024-03-26_13-58-22,5.836663,47.38665,292.6794,12
2024-03-26_13-58-23,5.365217,47.50232,269.4602,12
2024-03-26_13-58-23,5.155668,47.58717,262.97,12
2024-03-26_13-58-24,4.975774,47.52456,255.2904,12
2024-03-26_13-58-24,3.096594,47.25274,261.6039,13
2024-03-26_13-58-25,2.587037,47.06087,258.2229,12
2024-03-26_13-58-25,2.55495,47.03734,257.5856,12
2024-03-26_13-58-26,2.569406,46.94386,230.2787,13
2024-03-26_13-58-26,2.41992,46.02219,217.5242,13
2024-03-26_13-58-27,2.445349,45.25888,215.672,12
2024-03-26_13-58-27,2.395557,43.55287,227.9747,13
2024-03-26_13-58-28,2.371356,42.91156,221.0119,13
2024-03-26_13-58-28,2.072197,40.99411,225.7231,10
2024-03-26_13-58-29,1.926775,40.2276,226.7632,9
2024-03-26_13-58-29,1.287153,38.19456,238.9793,9
2024-03-26_13-58-30,0.6388918,37.63715,262.9006,8
2024-03-26_13-58-30,-0.2193831,37.45274,282.7877,8
2024-03-26_13-58-31,-1.842001,37.8308,300.2816,12
2024-03-26_13-58-31,-3.099567,38.57779,322.3733,10
2024-03-26_13-58-32,-3.809391,39.92434,333.0708,11
2024-03-26_13-58-32,-3.900875,41.76343,315.7635,10
2024-03-26_13-58-33,-4.392992,42.42484,286.3606,10
2024-03-26_13-58-33,-5.914306,42.57267,261.0515,10
2024-03-26_13-58-34,-6.688121,41.99821,245.81,10
2024-03-26_13-58-34,-6.849733,41.43366,219.5997,10
2024-03-26_13-58-35,-7.023199,39.29574,219.9039,10
2024-03-26_13-58-35,-7.080752,38.24523,217.9789,9
2024-03-26_13-58-36,-7.17982,36.25374,222.4916,8
2024-03-26_13-58-36,-7.19668,35.81324,221.7487,9
2024-03-26_13-58-37,-7.56699,34.03442,226.2046,10
2024-03-26_13-58-37,-7.669528,33.48178,222.4985,10
2024-03-26_13-58-38,-7.796348,32.51904,236.0359,10
2024-03-26_13-58-38,-7.829836,32.43131,219.1509,10
2024-03-26_13-58-39,-7.809649,32.38559,214.4659,9
2024-03-26_13-58-39,-7.568707,30.87173,208.116,8
2024-03-26_13-58-40,-7.187993,29.69042,190.4185,8
2024-03-26_13-58-40,-6.743397,28.87078,198.0595,9
2024-03-26_13-58-41,-6.53524,28.04892,218.3185,9
2024-03-26_13-58-41,-6.684536,26.59096,223.9002,9
2024-03-26_13-58-42,-6.889064,24.94513,223.2592,9
2024-03-26_13-58-42,-7.169906,23.25042,226.9576,8
2024-03-26_13-58-43,-7.312939,22.42907,222.3237,8
2024-03-26_13-58-43,-7.735145,20.22615,227.7084,8
2024-03-26_13-58-44,-7.867773,19.50411,223.7237,8
2024-03-26_13-58-44,-8.298284,17.3277,228.9305,8
2024-03-26_13-58-45,-8.706169,15.71408,229.1067,7
2024-03-26_13-58-45,-9.217133,13.66716,241.5277,4
2024-03-26_13-58-46,-10.02734,13.15325,269.793,4
2024-03-26_13-58-46,-12.12838,12.74191,288.6301,6
2024-03-26_13-58-47,-12.94149,12.80526,299.5274,6
2024-03-26_13-58-47,-13.49556,13.31953,329.5616,6
2024-03-26_13-58-48,-13.79136,14.2297,343.8246,6
2024-03-26_13-58-48,-13.91479,14.59895,333.0187,5
2024-03-26_13-58-49,-13.8915,15.50799,319.0881,6
2024-03-26_13-58-49,-13.88162,15.80185,291.4916,6
2024-03-26_13-58-50,-13.88589,15.91419,292.7924,6
2024-03-26_13-58-50,-13.88798,16.51583,289.68,6
2024-03-26_13-58-51,-13.91019,16.62778,279.5943,7
2024-03-26_13-58-51,-13.92654,16.61668,279.1336,7
2024-03-26_13-58-52,-13.92314,16.64058,282.3943,7
2024-03-26_13-58-52,-13.97702,16.65811,279.2677,7
2024-03-26_13-58-53,-13.94872,16.54965,289.2007,7
2024-03-26_13-58-53,-13.93002,16.55615,302.0886,6
2024-03-26_13-58-54,-14.28874,17.47326,298.0581,7
2024-03-26_13-58-54,-15.00204,17.86786,281.8839,7
2024-03-26_13-58-55,-16.88971,17.7795,282.5015,7
2024-03-26_13-58-55,-18.25064,17.87743,290.6138,6
2024-03-26_13-58-56,-19.75339,18.24188,304.7272,6
2024-03-26_13-58-56,-20.9854,19.22056,316.1056,5
2024-03-26_13-58-57,-21.92883,20.40273,333.9069,6
2024-03-26_13-58-57,-22.13068,21.40338,359.1458,6
2024-03-26_13-58-58,-20.9076,22.70219,33.46958,5
2024-03-26_13-58-58,-19.24895,23.23896,67.18472,6
2024-03-26_13-58-59,-18.68804,22.85778,135.3316,6
2024-03-26_13-58-59,-19.18493,22.3924,221.3403,6
2024-03-26_13-59-00,-20.35178,22.41369,246.7674,5
2024-03-26_13-59-00,-21.32937,22.02124,229.2312,4
2024-03-26_13-59-01,-21.52835,20.14667,209.7057,4
2024-03-26_13-59-01,-21.10995,18.70925,186.6781,4
2024-03-26_13-59-02,-19.25795,17.49015,85.73034,6
2024-03-26_13-59-02,-17.36613,17.56258,40.91285,6
2024-03-26_13-59-03,-17.03333,17.55775,49.48242,5
2024-03-26_13-59-03,-16.13993,17.51327,63.65161,5
2024-03-26_13-59-04,-14.13784,17.38274,96.31157,5
2024-03-26_13-59-04,-13.55904,16.18528,200.2664,4
2024-03-26_13-59-05,-13.77698,14.47038,241.7056,5
2024-03-26_13-59-05,-13.92435,14.13047,232.3536,5
2024-03-26_13-59-06,-13.66194,13.61335,129.1024,5
2024-03-26_13-59-06,-12.89859,13.49455,52.61924,5
2024-03-26_13-59-07,-12.32083,14.10935,3.249894,5
2024-03-26_13-59-07,-11.24315,15.82275,43.28605,5
2024-03-26_13-59-08,-11.28809,16.00187,123.5865,5
2024-03-26_13-59-08,-11.29223,15.44475,201.3095,5
2024-03-26_13-59-09,-11.11773,14.87871,198.5508,5
2024-03-26_13-59-10,-10.39536,13.20563,159.3107,6
2024-03-26_13-59-10,-9.821514,13.01318,65.90206,6
2024-03-26_13-59-11,-9.270933,13.18832,29.719,6
2024-03-26_13-59-11,-8.916571,13.49012,8.674269,6
2024-03-26_13-59-12,-8.574887,14.39568,2.377401,6
2024-03-26_13-59-12,-8.336551,15.59839,352.4971,6
2024-03-26_13-59-13,-8.257732,17.76483,348.2427,6
2024-03-26_13-59-13,-8.25038,18.70033,347.9627,6
2024-03-26_13-59-14,-8.262437,20.84527,349.2221,7
2024-03-26_13-59-14,-8.239542,21.55951,355.2547,7
2024-03-26_13-59-15,-7.921875,23.58243,359.3699,7
2024-03-26_13-59-15,-7.616546,24.17706,18.16816,4
2024-03-26_13-59-16,-6.360508,25.71539,31.53899,4
2024-03-26_13-59-16,-6.410396,26.03463,33.89094,4
2024-03-26_13-59-17,-6.576888,27.02282,333.1505,4
2024-03-26_13-59-17,-7.292088,28.62943,329.5338,5
2024-03-26_13-59-18,-7.915861,29.78378,323.5889,5
2024-03-26_13-59-18,-8.914646,31.18907,305.372,5
2024-03-26_13-59-19,-8.918136,31.62567,295.0567,5
2024-03-26_13-59-19,-9.037807,32.0686,300.0913,5
2024-03-26_13-59-20,-9.144517,32.21117,287.5406,5
2024-03-26_13-59-20,-9.692117,32.50285,279.6823,6
2024-03-26_13-59-21,-11.78721,32.47481,275.063,5
2024-03-26_13-59-21,-12.76568,32.42776,267.609,5
2024-03-26_13-59-22,-14.61349,32.41068,261.6827,6
2024-03-26_13-59-22,-15.32213,32.36545,249.2805,9
2024-03-26_13-59-23,-16.81467,31.97264,242.2791,7
2024-03-26_13-59-23,-17.48412,30.70172,228.0621,7
2024-03-26_13-59-24,-18.04878,29.22835,243.04,7
2024-03-26_13-59-24,-19.72826,28.02766,273.3527,7
2024-03-26_13-59-25,-21.58354,27.70128,287.6137,6
2024-03-26_13-59-25,-22.10548,27.63963,279.7499,6
