2024-03-27_11-30-57_player-2spatial maze.txt,id1=12,id2=21,3:46:28,WRONG MODE FAILURE
2024-03-27_11-32-13,39.47183,-42.446,299.7802,16
2024-03-27_11-32-13,39.46373,-42.46417,291.5722,16
2024-03-27_11-32-14,39.37507,-42.54562,276.8356,16
2024-03-27_11-32-14,38.85324,-42.98787,279.5758,13
2024-03-27_11-32-15,38.36387,-43.4923,272.6309,13
2024-03-27_11-32-15,38.27129,-43.58451,264.4581,14
2024-03-27_11-32-16,37.98747,-43.89862,267.0081,14
2024-03-27_11-32-16,37.31076,-44.64865,266.5372,14
2024-03-27_11-32-17,37.21274,-45.74961,322.0027,14
2024-03-27_11-32-17,37.154,-46.13605,287.5357,13
2024-03-27_11-32-18,36.9025,-46.269,292.8218,13
2024-03-27_11-32-18,36.63692,-46.43858,297.1108,13
2024-03-27_11-32-19,36.40393,-46.46956,303.4275,14
2024-03-27_11-32-19,35.75128,-46.45124,307.389,14
2024-03-27_11-32-20,34.83145,-46.40335,306.7973,14
2024-03-27_11-32-20,34.20424,-46.37259,308.1482,14
2024-03-27_11-32-21,33.58232,-46.30635,305.1404,15
2024-03-27_11-32-21,32.28233,-46.21654,305.5836,15
2024-03-27_11-32-22,31.53457,-46.44721,304.5498,15
2024-03-27_11-32-22,30.97671,-46.46961,305.9055,14
2024-03-27_11-32-23,29.72916,-46.47396,309.2892,13
2024-03-27_11-32-23,27.81767,-46.49691,307.807,13
2024-03-27_11-32-24,26.32402,-46.48787,306.8498,13
2024-03-27_11-32-24,25.71984,-46.47202,305.9868,10
2024-03-27_11-32-25,25.01953,-46.47014,307.1882,12
2024-03-27_11-32-25,24.54885,-46.42086,306.4733,13
2024-03-27_11-32-26,23.85199,-46.33722,306.476,13
2024-03-27_11-32-26,23.07249,-46.2695,306.0527,12
2024-03-27_11-32-27,22.36103,-46.21079,304.0829,12
2024-03-27_11-32-27,21.97335,-46.23104,305.6413,11
2024-03-27_11-32-28,21.82964,-46.36502,306.2914,8
2024-03-27_11-32-28,21.29416,-46.54152,316.2459,8
2024-03-27_11-32-29,20.87545,-46.50643,311.8265,8
2024-03-27_11-32-29,20.65998,-46.50153,312.5216,7
2024-03-27_11-32-30,20.57578,-46.50096,320.4047,7
2024-03-27_11-32-30,20.31409,-46.49311,323.8619,7
2024-03-27_11-32-31,20.01249,-46.40812,324.7032,7
2024-03-27_11-32-31,19.64107,-46.16307,326.2109,7
2024-03-27_11-32-32,19.05515,-45.72046,333.0451,7
2024-03-27_11-32-32,18.74602,-45.42327,340.942,5
2024-03-27_11-32-33,18.29512,-45.00051,332.7815,5
2024-03-27_11-32-33,17.86614,-44.66162,330.4351,9
2024-03-27_11-32-34,17.33518,-44.2545,329.1017,9
2024-03-27_11-32-34,16.86765,-43.9539,325.9076,9
2024-03-27_11-32-35,16.11065,-43.59271,313.0061,9
2024-03-27_11-32-35,15.59286,-43.40657,319.2426,9
2024-03-27_11-32-36,15.51482,-43.36837,326.1773,9
2024-03-27_11-32-36,15.15065,-43.14648,323.9622,8
2024-03-27_11-32-37,13.78544,-42.49208,320.8741,8
2024-03-27_11-32-37,12.39523,-42.28642,296.8374,10
2024-03-27_11-32-38,12.18734,-42.42328,286.6077,10
2024-03-27_11-32-38,12.20089,-42.43643,281.5125,10
2024-03-27_11-32-39,12.21511,-42.47548,271.3378,10
2024-03-27_11-32-39,12.24356,-42.53512,263.7181,8
2024-03-27_11-32-40,12.20345,-42.48809,185.9878,8
2024-03-27_11-32-40,12.2158,-42.60743,160.0088,9
2024-03-27_11-32-41,12.22592,-44.04769,154.5537,9
2024-03-27_11-32-41,12.20716,-44.69344,160.5548,9
2024-03-27_11-32-42,12.1953,-44.81695,164.4216,9
2024-03-27_11-32-42,12.20621,-45.47003,167.0782,11
2024-03-27_11-32-43,12.18709,-46.12362,242.4717,11
2024-03-27_11-32-43,12.17499,-46.12882,275.9338,11
2024-03-27_11-32-44,12.10333,-46.1673,284.9579,11
2024-03-27_11-32-44,12.08448,-46.18077,294.1766,13
2024-03-27_11-32-45,11.84562,-46.35135,299.2641,11
2024-03-27_11-32-45,10.61396,-46.55156,304.6812,9
2024-03-27_11-32-46,9.575623,-46.46414,312.4329,9
2024-03-27_11-32-46,9.283655,-46.42035,312.5241,9
2024-03-27_11-32-47,9.215527,-46.41272,313.8157,9
2024-03-27_11-32-47,8.887834,-46.26411,320.8859,7
2024-03-27_11-32-48,7.902204,-45.69777,328.5632,10
2024-03-27_11-32-48,7.187851,-45.13839,334.1292,10
2024-03-27_11-32-49,7.187168,-44.71536,334.9071,10
2024-03-27_11-32-49,7.164422,-44.54986,334.5742,11
2024-03-27_11-32-50,7.011722,-44.11943,332.3877,13
2024-03-27_11-32-50,6.470938,-43.5663,332.0841,13
2024-03-27_11-32-51,6.16502,-43.27682,337.4533,13
