2024-03-27_11-30-57_remote-1spatial maze.txt,id1=12,id2=21,3:46:28,WRONG MODE FAILURE
2024-03-27_11-32-13,-41.87009,-2.921181,359.834,16
2024-03-27_11-32-13,-41.85716,-2.900208,9.004281,16
2024-03-27_11-32-14,-41.75709,-2.859673,29.61309,16
2024-03-27_11-32-14,-41.73805,-2.850764,33.70528,13
2024-03-27_11-32-15,-41.8538,-2.86373,12.21627,13
2024-03-27_11-32-15,-41.86761,-2.945361,0.7690321,14
2024-03-27_11-32-16,-41.91246,-2.980984,0.3356261,14
2024-03-27_11-32-16,-42.09282,-2.940502,1.836878,14
2024-03-27_11-32-17,-42.28231,-2.98263,3.950932,14
2024-03-27_11-32-17,-42.07272,-2.837907,22.16268,13
2024-03-27_11-32-18,-41.75509,-2.904338,43.90495,13
2024-03-27_11-32-18,-41.07059,-2.928423,56.69512,13
2024-03-27_11-32-19,-41.24277,-3.614496,65.66059,14
2024-03-27_11-32-19,-41.24767,-5.787691,65.55344,14
2024-03-27_11-32-20,-40.7203,-6.184545,55.3673,14
2024-03-27_11-32-20,-40.40382,-6.400478,56.89553,14
2024-03-27_11-32-21,-40.27557,-6.598543,57.46279,15
2024-03-27_11-32-21,-39.90161,-6.967761,57.57456,15
2024-03-27_11-32-22,-39.1421,-7.589545,58.86308,15
2024-03-27_11-32-22,-37.09466,-9.717539,58.21057,14
2024-03-27_11-32-23,-35.94396,-11.26578,57.53592,13
2024-03-27_11-32-23,-34.66541,-12.28277,45.00459,13
2024-03-27_11-32-24,-33.36674,-11.88544,38.30924,13
2024-03-27_11-32-24,-31.13652,-8.928836,27.30066,10
2024-03-27_11-32-25,-31.27183,-5.362979,33.41175,12
2024-03-27_11-32-25,-31.61571,-4.230772,42.91241,13
2024-03-27_11-32-26,-31.60388,-4.196738,50.8392,13
2024-03-27_11-32-26,-31.19801,-4.615681,63.59531,12
2024-03-27_11-32-27,-31.21517,-4.632731,63.39513,12
2024-03-27_11-32-27,-31.21537,-5.005843,64.75124,11
2024-03-27_11-32-28,-30.9084,-6.503923,62.92658,8
2024-03-27_11-32-28,-29.60395,-7.813576,55.53141,8
2024-03-27_11-32-29,-28.4004,-8.961773,58.44049,8
2024-03-27_11-32-29,-27.91831,-9.402992,57.5125,7
2024-03-27_11-32-30,-27.41184,-9.737766,55.57865,7
2024-03-27_11-32-30,-26.29616,-10.73213,55.16484,7
2024-03-27_11-32-31,-24.85148,-11.69939,47.32318,7
2024-03-27_11-32-31,-22.20612,-12.198,44.48979,7
2024-03-27_11-32-32,-20.26931,-12.26343,41.54898,7
2024-03-27_11-32-32,-18.45123,-11.808,43.09315,5
2024-03-27_11-32-33,-16.13293,-11.53429,40.49546,5
2024-03-27_11-32-33,-13.56396,-10.99323,28.88112,9
2024-03-27_11-32-34,-12.94209,-9.737431,24.18871,9
2024-03-27_11-32-34,-13.41982,-5.886546,29.88586,9
2024-03-27_11-32-35,-13.69342,-4.342308,7.171995,9
2024-03-27_11-32-35,-13.86519,-4.08576,357.1439,9
2024-03-27_11-32-36,-14.63728,-3.584451,357.4471,9
2024-03-27_11-32-36,-14.73807,-3.577275,354.5963,8
2024-03-27_11-32-37,-15.00657,-3.590322,0.9753578,8
2024-03-27_11-32-37,-15.67445,-2.708842,33.56298,10
2024-03-27_11-32-38,-15.26065,-2.407189,57.78248,10
2024-03-27_11-32-38,-13.26579,-3.907607,65.52135,10
2024-03-27_11-32-39,-13.38533,-5.672991,76.20595,10
2024-03-27_11-32-39,-13.64351,-8.398392,78.59441,8
2024-03-27_11-32-40,-13.75424,-11.07129,59.97812,8
2024-03-27_11-32-40,-17.11683,-12.10749,1.307676,9
2024-03-27_11-32-41,-20.1047,-11.83235,3.816854,9
2024-03-27_11-32-41,-23.47413,-11.30567,6.424339,9
2024-03-27_11-32-42,-24.4021,-11.20941,7.983973,9
2024-03-27_11-32-42,-25.07874,-11.08777,11.11335,11
2024-03-27_11-32-43,-25.21233,-10.88892,14.73461,11
2024-03-27_11-32-43,-26.68805,-10.67082,16.07491,11
2024-03-27_11-32-44,-27.01587,-9.576739,28.11576,11
2024-03-27_11-32-44,-27.63691,-8.400714,2.245793,13
2024-03-27_11-32-45,-30.85133,-8.555416,358.4059,11
2024-03-27_11-32-45,-33.72251,-8.690451,18.90542,9
2024-03-27_11-32-46,-33.61315,-8.476541,30.02659,9
2024-03-27_11-32-46,-33.63755,-8.459179,30.03855,9
2024-03-27_11-32-47,-33.56139,-7.796615,27.09139,9
2024-03-27_11-32-47,-32.94833,-5.178761,32.64658,7
2024-03-27_11-32-48,-31.8567,-3.438849,32.20644,10
2024-03-27_11-32-48,-30.93046,-2.132139,49.59557,10
2024-03-27_11-32-49,-31.07554,-1.97386,19.21513,10
2024-03-27_11-32-49,-31.37163,-0.8558571,21.01682,11
2024-03-27_11-32-50,-32.92706,3.969476,23.10469,13
2024-03-27_11-32-50,-33.78238,5.812092,357.8958,13
2024-03-27_11-32-51,-35.24711,6.49533,359.9532,13
2024-03-27_11-32-51,-36.50959,6.873346,2.915576,15
2024-03-27_11-32-52,-37.48196,7.487922,4.482331,13
2024-03-27_11-32-52,-39.91099,8.786023,7.245746,13
2024-03-27_11-32-53,-42.40624,9.862963,20.93918,12
2024-03-27_11-32-53,-41.637,11.94278,42.0474,14
2024-03-27_11-32-54,-40.8288,12.58973,48.38068,16
2024-03-27_11-32-54,-37.82626,12.62334,43.10039,13
2024-03-27_11-32-55,-35.19613,13.96995,29.82228,13
2024-03-27_11-32-55,-32.64108,15.60181,25.03884,12
2024-03-27_11-32-56,-33.38252,18.91166,8.122618,12
2024-03-27_11-32-56,-36.49411,18.98051,5.180916,10
2024-03-27_11-32-57,-37.37568,20.02329,35.02764,10
2024-03-27_11-32-57,-37.37298,20.85695,10.16526,11
2024-03-27_11-32-58,-38.98394,20.95325,3.067188,11
2024-03-27_11-32-58,-40.47406,22.97129,19.65859,11
2024-03-27_11-32-59,-41.15133,25.1675,39.1839,11
2024-03-27_11-32-59,-41.08244,25.57926,48.52079,12
2024-03-27_11-33-00,-41.33864,25.61713,13.97889,11
2024-03-27_11-33-00,-41.36857,25.46493,352.2587,11
2024-03-27_11-33-01,-43.32323,24.27823,351.7356,15
2024-03-27_11-33-01,-45.18155,23.87733,9.029693,14
2024-03-27_11-33-02,-46.02228,24.32854,26.07951,14
2024-03-27_11-33-02,-46.19897,26.4527,26.83104,15
2024-03-27_11-33-03,-46.25937,29.32915,25.42842,15
2024-03-27_11-33-03,-46.35603,29.4458,3.50306,15
2024-03-27_11-33-04,-46.3259,29.39316,63.22529,15
2024-03-27_11-33-04,-46.48422,26.0963,74.85566,15
2024-03-27_11-33-05,-46.1322,23.92618,60.72414,14
2024-03-27_11-33-06,-43.37535,23.51357,34.38945,13
2024-03-27_11-33-06,-40.14825,23.15948,55.28387,11
2024-03-27_11-33-07,-37.97064,20.20673,64.48158,11
2024-03-27_11-33-07,-34.97286,18.69295,42.05872,10
2024-03-27_11-33-08,-33.18255,17.09699,73.58636,10
2024-03-27_11-33-08,-33.8242,13.73786,20.04154,10
2024-03-27_11-33-09,-37.65404,12.92366,3.029497,11
2024-03-27_11-33-09,-39.94748,12.86489,10.74061,11
2024-03-27_11-33-10,-40.9066,11.15438,71.94484,9
2024-03-27_11-33-10,-41.30436,10.36078,62.19262,8
2024-03-27_11-33-11,-41.14422,9.529495,57.13681,8
2024-03-27_11-33-11,-40.88467,8.552298,57.57442,8
2024-03-27_11-33-12,-40.74583,8.594197,50.9015,7
2024-03-27_11-33-12,-39.92245,8.392669,50.59999,7
2024-03-27_11-33-13,-37.06555,7.77724,46.40766,8
2024-03-27_11-33-13,-34.74133,6.337203,66.34419,6
2024-03-27_11-33-14,-34.33383,6.139942,71.27821,6
2024-03-27_11-33-14,-33.68604,5.68861,67.85581,6
2024-03-27_11-33-15,-33.18936,3.90982,72.04789,6
2024-03-27_11-33-15,-32.87461,0.1673837,71.19406,6
2024-03-27_11-33-16,-31.87154,-1.732326,46.95049,6
2024-03-27_11-33-16,-31.07506,-2.879592,72.47943,6
2024-03-27_11-33-17,-31.62511,-4.456459,56.02823,5
2024-03-27_11-33-17,-31.69601,-5.187348,60.83577,6
2024-03-27_11-33-18,-31.63794,-6.922215,69.34579,4
2024-03-27_11-33-18,-33.64137,-9.058867,351.7244,4
2024-03-27_11-33-19,-33.81776,-11.02514,0.1318218,3
2024-03-27_11-33-19,-34.80871,-11.41158,16.45157,4
2024-03-27_11-33-20,-34.94449,-11.45772,18.98239,4
2024-03-27_11-33-20,-35.09101,-11.28074,18.44811,4
2024-03-27_11-33-21,-35.07728,-11.48829,25.25203,4
2024-03-27_11-33-21,-33.98523,-11.96024,47.63864,4
2024-03-27_11-33-22,-31.14474,-12.44129,39.32489,3
2024-03-27_11-33-22,-31.13764,-11.9116,31.87148,3
2024-03-27_11-33-23,-31.10622,-11.33014,30.78639,3
2024-03-27_11-33-23,-31.10577,-11.2422,29.18924,3
2024-03-27_11-33-24,-31.16128,-10.22495,28.27051,4
2024-03-27_11-33-24,-31.06184,-8.832606,40.58867,3
2024-03-27_11-33-25,-30.89158,-8.856586,51.69815,3
2024-03-27_11-33-25,-30.62183,-8.681899,51.07602,3
2024-03-27_11-33-26,-30.61568,-8.574376,51.57504,3
2024-03-27_11-33-26,-30.65651,-8.604391,51.83076,3
2024-03-27_11-33-27,-30.67043,-8.669871,51.43063,3
2024-03-27_11-33-27,-30.68216,-8.689942,51.94825,3
2024-03-27_11-33-28,-30.89518,-8.830494,68.81058,3
2024-03-27_11-33-28,-32.81181,-10.35909,350.3324,3
2024-03-27_11-33-29,-35.19852,-11.55976,3.391101,4
2024-03-27_11-33-29,-38.74123,-9.906467,18.89886,5
2024-03-27_11-33-30,-39.2064,-7.387161,11.12575,4
2024-03-27_11-33-30,-39.4851,-7.126848,7.468183,3
2024-03-27_11-33-31,-39.52607,-7.039534,16.29963,3
2024-03-27_11-33-31,-40.30684,-6.508403,11.17968,3
2024-03-27_11-33-32,-41.67741,-4.89173,28.70825,3
2024-03-27_11-33-32,-42.65777,-4.213785,359.9572,3
2024-03-27_11-33-33,-43.96367,-4.224617,1.346912,3
2024-03-27_11-33-33,-43.83904,-4.377356,359.547,3
2024-03-27_11-33-34,-43.8601,-4.80063,2.620882,3
2024-03-27_11-33-34,-43.72662,-4.669918,19.9526,3
2024-03-27_11-33-35,-43.79055,-3.770155,20.95816,3
2024-03-27_11-33-35,-43.95039,-3.840564,2.259234,3
2024-03-27_11-33-36,-44.76554,-3.035276,13.96422,3
2024-03-27_11-33-36,-46.05935,-3.09203,24.83022,4
2024-03-27_11-33-37,-46.51546,-5.28083,75.56508,7
2024-03-27_11-33-37,-46.60053,-6.92255,71.46864,8
2024-03-27_11-33-38,-46.58722,-7.121148,72.60927,9
2024-03-27_11-33-38,-46.758,-9.109803,76.36507,9
2024-03-27_11-33-39,-46.91597,-13.38613,70.97284,6
2024-03-27_11-33-39,-45.49092,-16.93087,53.85986,6
2024-03-27_11-33-40,-42.17918,-17.69439,43.68427,4
2024-03-27_11-33-40,-40.17568,-18.57352,60.61288,4
2024-03-27_11-33-41,-39.44915,-18.77642,63.73621,4
2024-03-27_11-33-41,-39.38994,-18.838,67.74553,4
2024-03-27_11-33-42,-37.95012,-19.45466,56.57531,4
2024-03-27_11-33-42,-35.9867,-20.8393,52.94643,4
2024-03-27_11-33-43,-34.61493,-21.10859,36.85448,4
2024-03-27_11-33-43,-33.31396,-20.02553,24.6874,4
2024-03-27_11-33-44,-32.62741,-19.38136,47.40301,4
2024-03-27_11-33-44,-32.03408,-19.40189,51.18958,4
2024-03-27_11-33-45,-30.9422,-18.95461,42.66697,5
2024-03-27_11-33-45,-30.09228,-18.42985,54.20084,4
2024-03-27_11-33-46,-29.7222,-18.7214,62.44109,4
2024-03-27_11-33-46,-28.82677,-18.77815,64.42868,6
2024-03-27_11-33-47,-28.22831,-19.39397,55.89137,3
2024-03-27_11-33-47,-27.0344,-20.04995,53.08861,5
2024-03-27_11-33-48,-26.35575,-20.71572,58.12006,5
2024-03-27_11-33-48,-25.9915,-20.75562,50.46714,5
2024-03-27_11-33-49,-25.53617,-21.32285,51.85704,5
2024-03-27_11-33-49,-22.0583,-22.23433,44.73875,5
2024-03-27_11-33-50,-18.88281,-22.49997,46.07636,5
2024-03-27_11-33-50,-14.19578,-22.88932,39.61268,5
2024-03-27_11-33-51,-10.18473,-23.36259,44.69039,6
2024-03-27_11-33-51,-5.576421,-23.63842,46.89812,5
2024-03-27_11-33-52,-3.351868,-23.97818,72.96427,1
2024-03-27_11-33-52,-2.064698,-25.23037,60.55534,1
