2024-03-27_12-22-22_player-2spatial maze.txt,id1=2,id2=3,01:10:83,FAILURE *
2024-03-27_12-22-47,40.37862,47.88131,3.308585,16
2024-03-27_12-22-48,39.93382,47.85151,294.4861,16
2024-03-27_12-22-48,39.60633,47.81395,292.1689,15
2024-03-27_12-22-49,38.92134,47.6972,293.2273,15
2024-03-27_12-22-49,38.56523,47.60865,290.843,15
2024-03-27_12-22-50,37.67943,47.46124,290.1232,14
2024-03-27_12-22-50,37.29062,47.41926,291.4818,14
2024-03-27_12-22-51,36.8989,47.35103,292.0876,14
2024-03-27_12-22-51,35.23862,47.12287,294.4387,14
2024-03-27_12-22-52,34.11397,46.79574,274.1208,17
2024-03-27_12-22-53,33.1991,45.71525,220.9543,14
2024-03-27_12-22-53,32.80719,44.64883,151.8304,14
2024-03-27_12-22-54,32.82767,44.48947,224.8005,13
2024-03-27_12-22-54,32.74662,44.46213,230.6427,13
2024-03-27_12-22-55,32.65533,43.88996,154.5936,14
2024-03-27_12-22-55,32.38458,42.84113,93.22103,16
2024-03-27_12-22-56,31.98454,42.65288,217.207,14
2024-03-27_12-22-56,30.36204,41.99512,280.3871,14
2024-03-27_12-22-57,30.1079,41.85672,268.0011,14
2024-03-27_12-22-57,29.2106,41.35243,290.0485,14
2024-03-27_12-22-58,28.51353,40.98923,252.0329,13
2024-03-27_12-22-58,28.24204,39.52154,155.5951,13
2024-03-27_12-22-59,28.1983,38.2566,145.3532,15
2024-03-27_12-22-59,28.14491,38.04478,150.752,15
2024-03-27_12-23-00,27.81846,37.01862,154.6317,15
2024-03-27_12-23-00,27.43482,35.65792,209.0518,15
2024-03-27_12-23-01,27.16324,35.08723,258.6048,13
2024-03-27_12-23-01,26.63966,34.55776,267.6709,14
2024-03-27_12-23-02,26.07153,33.7911,275.0286,15
2024-03-27_12-23-02,24.64643,33.34381,296.748,14
2024-03-27_12-23-03,24.28115,33.229,228.4166,14
2024-03-27_12-23-03,25.0497,31.90845,124.2105,15
2024-03-27_12-23-04,26.06968,31.44323,80.73328,12
2024-03-27_12-23-04,27.01912,31.4947,68.92927,13
2024-03-27_12-23-05,27.17789,31.55357,38.7684,13
2024-03-27_12-23-05,27.48502,32.55881,11.72501,12
2024-03-27_12-23-06,27.54151,33.29758,4.822866,15
2024-03-27_12-23-06,27.4962,34.56351,8.918339,15
2024-03-27_12-23-07,27.57043,35.29811,10.99552,14
2024-03-27_12-23-07,27.71026,36.33082,10.68762,16
2024-03-27_12-23-08,27.89159,38.04961,13.94361,16
2024-03-27_12-23-08,28.00069,38.81824,15.41292,15
2024-03-27_12-23-09,28.28023,39.85962,18.17412,13
2024-03-27_12-23-09,28.63348,40.88238,26.20198,13
2024-03-27_12-23-10,29.52817,41.99617,53.55862,11
2024-03-27_12-23-10,30.89045,42.61943,50.37885,11
2024-03-27_12-23-11,32.06649,43.95888,21.1969,11
2024-03-27_12-23-11,32.78963,45.99108,32.14746,14
2024-03-27_12-23-12,33.51551,46.55864,59.26946,14
2024-03-27_12-23-12,35.66849,47.2345,66.87927,11
2024-03-27_12-23-13,37.4334,47.50739,62.20478,11
2024-03-27_12-23-13,37.5711,47.73613,359.1599,11
2024-03-27_12-23-14,35.95648,48.43921,304.0382,14
2024-03-27_12-23-14,34.48926,48.0627,276.7161,14
