2024-03-27_12-22-22_remote-1spatial maze.txt,id1=2,id2=3,01:10:83,FAILURE *
2024-03-27_12-22-47,-48.49226,-2.596087,358.3646,16
2024-03-27_12-22-48,-48.48877,-2.593468,12.01503,16
2024-03-27_12-22-48,-48.48961,-2.5986,16.195,15
2024-03-27_12-22-49,-48.49063,-2.59644,15.32733,15
2024-03-27_12-22-49,-48.45993,-2.597483,23.46155,15
2024-03-27_12-22-50,-48.42688,-2.604582,47.27214,14
2024-03-27_12-22-50,-48.43338,-2.684838,72.65919,14
2024-03-27_12-22-51,-48.46179,-2.673864,64.58627,14
2024-03-27_12-22-51,-48.4698,-2.659909,61.96756,14
2024-03-27_12-22-52,-48.43202,-2.659983,66.03757,17
2024-03-27_12-22-53,-48.4035,-2.654001,68.73197,14
2024-03-27_12-22-53,-48.33318,-2.621712,73.19702,14
2024-03-27_12-22-54,-48.33632,-2.589948,71.69645,13
2024-03-27_12-22-54,-48.2912,-2.651803,80.67797,13
2024-03-27_12-22-55,-47.93826,-2.748772,83.59351,14
2024-03-27_12-22-55,-47.53814,-2.828013,77.92876,16
2024-03-27_12-22-56,-47.43832,-2.771756,74.83779,14
2024-03-27_12-22-56,-47.29698,-2.740666,71.40818,14
2024-03-27_12-22-57,-47.19973,-2.766272,83.49006,14
2024-03-27_12-22-57,-47.16493,-2.797365,87.74915,14
2024-03-27_12-22-58,-47.04103,-2.846486,83.15165,13
2024-03-27_12-22-58,-47.02203,-2.861283,81.29691,13
2024-03-27_12-22-59,-47.01824,-2.811422,83.26525,15
2024-03-27_12-22-59,-46.79348,-2.817581,76.30851,15
2024-03-27_12-23-00,-46.77585,-2.865221,79.97714,15
2024-03-27_12-23-00,-46.73492,-2.828861,81.10757,15
2024-03-27_12-23-01,-46.72603,-2.839739,79.47337,13
2024-03-27_12-23-01,-46.58285,-2.901408,77.77743,14
2024-03-27_12-23-02,-46.51417,-2.902313,84.74877,15
2024-03-27_12-23-02,-46.23284,-2.918023,83.73405,14
2024-03-27_12-23-03,-45.93695,-2.993888,95.94226,14
2024-03-27_12-23-03,-45.84426,-3.022015,92.61092,15
2024-03-27_12-23-04,-45.71819,-3.090714,90.98414,12
2024-03-27_12-23-04,-45.67741,-3.067621,86.92505,13
2024-03-27_12-23-05,-45.48577,-3.069844,86.11779,13
2024-03-27_12-23-05,-45.18851,-3.133387,85.55724,12
2024-03-27_12-23-06,-45.18763,-3.155725,86.5273,15
2024-03-27_12-23-06,-45.13352,-3.195052,85.89511,15
2024-03-27_12-23-07,-45.0359,-3.232733,87.92309,14
2024-03-27_12-23-07,-44.85504,-3.253152,94.57937,16
2024-03-27_12-23-08,-44.63443,-3.304238,91.65425,16
2024-03-27_12-23-08,-44.56642,-3.357268,90.73658,15
2024-03-27_12-23-09,-44.54817,-3.399769,98.96484,13
2024-03-27_12-23-09,-44.22947,-3.669147,107.7374,13
2024-03-27_12-23-10,-44.11585,-3.699953,104.1302,11
2024-03-27_12-23-10,-44.16177,-3.690645,97.64294,11
2024-03-27_12-23-11,-44.18687,-3.67166,99.52913,11
2024-03-27_12-23-11,-44.17521,-3.678653,103.7633,14
2024-03-27_12-23-12,-44.15685,-3.730936,102.9639,14
2024-03-27_12-23-12,-44.16431,-3.768032,104.9169,11
2024-03-27_12-23-13,-43.95866,-3.924241,106.1088,11
2024-03-27_12-23-13,-43.67323,-4.100989,101.5377,11
2024-03-27_12-23-14,-43.52113,-4.197328,101.7345,14
2024-03-27_12-23-14,-43.48761,-4.234547,102.0974,14
2024-03-27_12-23-15,-43.47545,-4.278559,104.0351,14
2024-03-27_12-23-15,-43.47443,-4.278064,102.2418,14
2024-03-27_12-23-16,-43.51035,-4.222563,107.4428,14
2024-03-27_12-23-16,-43.57053,-4.201831,105.9223,12
2024-03-27_12-23-17,-43.62732,-4.227744,102.2749,10
2024-03-27_12-23-17,-43.60381,-4.272601,102.7918,13
2024-03-27_12-23-18,-43.4165,-4.37916,106.9582,16
2024-03-27_12-23-18,-43.28161,-4.44727,107.3935,16
2024-03-27_12-23-19,-43.25462,-4.485655,106.7901,16
2024-03-27_12-23-19,-43.14066,-4.602417,105.8773,14
2024-03-27_12-23-20,-43.1128,-4.679474,102.7799,16
2024-03-27_12-23-20,-42.96553,-4.760514,105.6623,16
2024-03-27_12-23-21,-42.64469,-4.948366,104.3827,16
2024-03-27_12-23-21,-42.43945,-5.071079,104.9961,15
2024-03-27_12-23-22,-42.42937,-5.088956,107.0056,14
2024-03-27_12-23-22,-42.3895,-5.124535,105.6684,14
2024-03-27_12-23-23,-42.36689,-5.220176,104.2289,15
2024-03-27_12-23-23,-42.2093,-5.335849,110.4005,15
2024-03-27_12-23-24,-42.0104,-5.509163,107.9967,16
2024-03-27_12-23-24,-41.77461,-5.718832,108.606,17
