2024-03-27_12-34-31_remote-1haptics maze.txt,id1=2,id2=3,3:14:02,FAILURE *
2024-03-27_12-35-23,-48.02855,-3.998585,33.62961,14
2024-03-27_12-35-24,-48.04187,-3.989193,33.61428,14
2024-03-27_12-35-25,-48.05666,-3.987777,34.46276,14
2024-03-27_12-35-26,-47.81438,-3.138051,37.04258,12
2024-03-27_12-35-27,-47.82595,-3.066095,35.16169,12
2024-03-27_12-35-28,-47.81701,-3.068561,36.02534,12
2024-03-27_12-35-29,-47.82216,-3.067805,35.85903,12
2024-03-27_12-35-30,-47.82995,-3.064782,36.33565,12
2024-03-27_12-35-31,-47.82468,-3.065379,37.23372,12
2024-03-27_12-35-32,-47.80086,-3.116738,37.3109,12
2024-03-27_12-35-33,-47.81283,-3.123806,35.93718,12
2024-03-27_12-35-34,-47.8329,-3.104549,36.70926,12
2024-03-27_12-35-35,-47.81007,-3.116685,43.06401,12
2024-03-27_12-35-36,-47.80457,-3.11824,42.93329,12
2024-03-27_12-35-37,-47.80541,-3.115706,42.31836,12
2024-03-27_12-35-38,-47.80293,-3.107984,42.22461,12
2024-03-27_12-35-39,-47.79514,-3.092525,45.09227,12
2024-03-27_12-35-40,-47.79076,-3.066694,47.46741,12
2024-03-27_12-35-41,-47.76492,-3.137367,60.52383,12
2024-03-27_12-35-42,-47.77291,-3.144112,57.86797,12
2024-03-27_12-35-43,-47.81029,-3.137367,56.88737,12
2024-03-27_12-35-44,-47.85263,-3.140853,57.16069,12
2024-03-27_12-35-45,-47.11515,-3.176013,61.9919,11
2024-03-27_12-35-46,-45.88666,-3.4957,66.0473,11
2024-03-27_12-35-47,-44.88263,-3.819199,60.02155,11
2024-03-27_12-35-48,-43.43462,-4.664838,67.77774,11
2024-03-27_12-35-49,-42.57224,-5.082627,66.0527,11
2024-03-27_12-35-50,-41.5198,-5.725096,68.3743,11
2024-03-27_12-35-51,-41.06946,-5.945094,73.81664,11
2024-03-27_12-35-52,-40.88795,-7.461565,76.26529,13
2024-03-27_12-35-53,-39.63029,-8.69592,69.78575,13
2024-03-27_12-35-54,-39.53817,-8.820192,69.94141,13
2024-03-27_12-35-55,-38.99132,-9.219292,69.06336,13
2024-03-27_12-35-56,-38.3838,-9.634792,70.12901,13
2024-03-27_12-35-57,-37.83325,-10.05446,66.60976,13
2024-03-27_12-35-58,-36.46542,-10.78336,67.15672,13
2024-03-27_12-35-59,-36.08082,-11.28119,66.00732,14
2024-03-27_12-36-00,-36.05293,-11.45253,68.54044,14
2024-03-27_12-36-01,-36.03645,-12.01376,63.37526,14
2024-03-27_12-36-02,-35.91544,-12.02279,48.11675,14
2024-03-27_12-36-03,-36.17146,-10.96274,36.24606,13
2024-03-27_12-36-04,-36.31086,-10.48345,26.84852,13
2024-03-27_12-36-05,-36.38819,-10.41559,26.6068,13
