2024-03-27_13-34-58_player-2spatial maze.txt,id1=19,id2=11,04:32:25,FAILURE
2024-03-27_13-35-22,45.03346,-2.138199,19.09365,9
2024-03-27_13-35-22,45.03571,-2.141521,18.95662,9
2024-03-27_13-35-23,45.03371,-2.141207,18.89576,9
2024-03-27_13-35-23,45.03331,-2.141645,19.14483,9
2024-03-27_13-35-24,45.03315,-2.140811,19.03996,9
2024-03-27_13-35-24,45.02454,-2.167569,17.3863,9
2024-03-27_13-35-25,45.0003,-2.18036,4.478474,9
2024-03-27_13-35-25,44.94427,-2.149659,334.2734,9
2024-03-27_13-35-26,44.92833,-2.149397,319.0062,9
2024-03-27_13-35-26,44.9862,-2.118263,341.4557,9
2024-03-27_13-35-27,45.02383,-2.158645,22.72377,9
2024-03-27_13-35-27,45.03096,-2.173518,26.27875,9
2024-03-27_13-35-28,45.04308,-2.164332,29.51547,9
2024-03-27_13-35-28,45.04061,-2.165421,29.58201,9
2024-03-27_13-35-29,45.03487,-2.170974,29.14392,9
2024-03-27_13-35-29,45.03857,-2.170478,29.96978,9
2024-03-27_13-35-30,45.03962,-2.170233,30.75171,9
2024-03-27_13-35-30,45.03647,-2.172602,30.70508,9
2024-03-27_13-35-31,45.03788,-2.170873,30.704,9
2024-03-27_13-35-31,45.03508,-2.170685,30.55096,9
2024-03-27_13-35-32,45.03424,-2.170505,30.00732,9
2024-03-27_13-35-32,45.03265,-2.17053,30.00496,9
2024-03-27_13-35-33,45.03378,-2.167364,29.48868,9
2024-03-27_13-35-33,45.03224,-2.167042,28.81793,9
2024-03-27_13-35-34,45.03419,-2.161512,28.92802,9
2024-03-27_13-35-34,45.06762,-2.154483,28.8076,9
2024-03-27_13-35-35,45.2287,-1.928854,29.85859,9
2024-03-27_13-35-35,45.50577,-1.54871,30.09411,9
2024-03-27_13-35-36,45.82508,-1.165645,26.13208,9
2024-03-27_13-35-36,46.20177,-0.7913874,16.6435,9
2024-03-27_13-35-37,46.18974,-0.6239901,358.8264,9
2024-03-27_13-35-37,46.1433,-0.01835596,337.0697,13
2024-03-27_13-35-38,46.1117,0.7571387,335.8007,15
2024-03-27_13-35-38,46.11674,1.054855,302.3771,14
2024-03-27_13-35-39,46.0998,0.9256386,287.171,14
2024-03-27_13-35-39,46.09599,0.5832617,269.9499,15
2024-03-27_13-35-40,46.07174,-0.08302299,270.8117,13
2024-03-27_13-35-40,46.09855,-0.7066396,289.3725,9
2024-03-27_13-35-41,46.08797,-0.8047919,248.2927,9
2024-03-27_13-35-41,45.87834,-1.31191,165.8759,9
2024-03-27_13-35-42,45.67932,-1.883395,152.7182,9
2024-03-27_13-35-42,45.55823,-2.414767,167.2776,9
2024-03-27_13-35-43,45.44372,-2.418593,256.7115,9
2024-03-27_13-35-43,44.51018,-2.866727,291.6558,9
2024-03-27_13-35-44,43.18701,-2.919831,302.4752,9
2024-03-27_13-35-44,41.91336,-2.745224,308.4688,9
2024-03-27_13-35-45,40.94811,-2.493593,310.4647,9
2024-03-27_13-35-45,40.2583,-2.2701,312.0757,9
2024-03-27_13-35-46,39.40012,-2.04006,308.4292,9
2024-03-27_13-35-46,38.0158,-1.744179,308.3274,9
2024-03-27_13-35-47,36.65207,-1.360514,312.1062,9
2024-03-27_13-35-47,35.14785,-1.221682,316.476,9
2024-03-27_13-35-48,34.23154,-1.155122,338.7388,9
2024-03-27_13-35-48,33.67073,-0.7409087,355.9652,9
2024-03-27_13-35-49,33.30373,0.3835418,1.165064,11
2024-03-27_13-35-49,33.03797,2.395249,3.807311,10
2024-03-27_13-35-50,33.03864,4.515662,13.23965,10
2024-03-27_13-35-50,33.44483,5.88465,30.76288,11
2024-03-27_13-35-51,34.08812,6.657668,49.58123,11
2024-03-27_13-35-51,34.54652,6.790318,77.63758,12
2024-03-27_13-35-52,34.61263,6.801039,75.34347,12
2024-03-27_13-35-52,35.70768,6.57902,80.52394,11
2024-03-27_13-35-53,36.68806,6.328435,84.46979,10
2024-03-27_13-35-53,37.84898,5.859569,86.36079,10
2024-03-27_13-35-54,38.67178,5.595197,86.56657,11
2024-03-27_13-35-54,38.73029,5.472711,87.81513,11
2024-03-27_13-35-55,38.72272,5.146437,98.41337,11
2024-03-27_13-35-55,38.7839,4.196786,94.42751,12
2024-03-27_13-35-56,39.36316,3.71988,65.06484,12
2024-03-27_13-35-56,41.20275,3.755861,49.01785,12
2024-03-27_13-35-57,42.23891,4.537044,33.11555,12
2024-03-27_13-35-57,43.10788,5.608555,32.12767,13
2024-03-27_13-35-58,43.7975,6.52809,31.16886,11
2024-03-27_13-35-58,44.47453,7.522213,30.93514,11
2024-03-27_13-35-59,44.92263,8.189559,27.6131,10
2024-03-27_13-35-59,45.30556,8.658379,32.017,10
2024-03-27_13-36-00,46.12223,9.082625,25.64083,10
2024-03-27_13-36-00,46.48686,10.02818,2.837707,12
2024-03-27_13-36-01,46.22822,10.89675,344.8353,12
2024-03-27_13-36-01,45.76773,11.44763,326.1891,13
2024-03-27_13-36-02,44.51365,12.30399,320.0042,11
2024-03-27_13-36-02,43.34294,12.86692,316.1098,10
2024-03-27_13-36-03,42.4003,13.26681,322.9907,9
2024-03-27_13-36-03,41.52878,13.68651,316.4403,10
2024-03-27_13-36-04,40.47387,13.82461,316.6835,10
2024-03-27_13-36-04,39.26412,13.81139,315.9456,10
2024-03-27_13-36-05,38.08929,13.83353,317.0168,10
2024-03-27_13-36-05,36.70115,13.8267,322.278,9
2024-03-27_13-36-06,35.44389,13.84971,325.6479,9
2024-03-27_13-36-06,34.12342,13.89933,337.0808,9
2024-03-27_13-36-07,33.72249,14.08337,359.5116,9
2024-03-27_13-36-07,33.21103,14.72408,332.1933,9
2024-03-27_13-36-08,31.69186,15.69455,316.6528,9
2024-03-27_13-36-08,30.64626,16.3217,318.7437,9
2024-03-27_13-36-09,29.51985,16.412,300.2507,10
2024-03-27_13-36-09,28.68534,16.1864,282.2789,12
2024-03-27_13-36-10,28.19414,15.9267,276.189,10
2024-03-27_13-36-10,27.48274,15.44857,270.5189,11
2024-03-27_13-36-11,26.5775,14.67525,268.3901,10
2024-03-27_13-36-12,25.87909,13.96563,273.9651,10
2024-03-27_13-36-12,25.02569,13.62127,301.9163,10
2024-03-27_13-36-13,23.89496,13.8022,322.7988,9
2024-03-27_13-36-13,23.39683,14.11412,329.9346,8
2024-03-27_13-36-14,22.58312,14.86249,330.2896,8
2024-03-27_13-36-14,21.59995,15.63964,325.8131,9
2024-03-27_13-36-15,21.0568,15.94351,317.8694,7
2024-03-27_13-36-15,20.48201,16.63946,332.9193,7
2024-03-27_13-36-16,19.52647,17.72163,335.5851,7
2024-03-27_13-36-16,18.43209,18.96862,334.3758,7
2024-03-27_13-36-17,17.30473,20.04705,326.1635,8
2024-03-27_13-36-17,15.96724,20.8173,310.9738,9
2024-03-27_13-36-18,15.22406,21.39627,302.2998,6
2024-03-27_13-36-18,13.31775,21.64249,303.636,8
2024-03-27_13-36-19,11.7496,21.73722,298.4062,7
2024-03-27_13-36-19,10.6039,21.65819,290.0991,5
2024-03-27_13-36-20,9.535099,21.30901,279.6862,5
