2024-03-27_14-37-03_remote-1spatial maze.txt,id1=15,id2=4,01:48:12
2024-03-27_14-37-47,-48.11938,-46.73264,346.8696,18
2024-03-27_14-37-47,-48.04335,-46.67864,40.20821,18
2024-03-27_14-37-48,-48.03899,-46.6773,42.82732,18
2024-03-27_14-37-48,-48.03061,-46.67211,44.5041,18
2024-03-27_14-37-49,-48.05078,-46.67936,39.65676,18
2024-03-27_14-37-49,-48.05724,-46.67332,38.50012,18
2024-03-27_14-37-50,-48.13001,-46.63184,20.86508,19
2024-03-27_14-37-50,-48.16669,-46.57678,6.07816,18
2024-03-27_14-37-51,-48.11531,-46.46535,10.21486,17
2024-03-27_14-37-51,-48.12479,-46.23628,13.03723,17
2024-03-27_14-37-52,-48.13256,-46.11063,12.43498,18
2024-03-27_14-37-52,-48.10561,-45.55833,14.88879,17
2024-03-27_14-37-53,-48.08824,-44.94163,12.97636,15
2024-03-27_14-37-53,-48.05495,-44.37743,14.87676,16
2024-03-27_14-37-54,-48.01262,-44.09512,14.83386,15
2024-03-27_14-37-54,-47.92764,-43.43954,12.45178,16
2024-03-27_14-37-55,-47.91136,-42.99326,13.79307,16
2024-03-27_14-37-55,-47.88094,-42.75954,12.13599,15
2024-03-27_14-37-56,-47.89203,-42.35727,16.33513,15
2024-03-27_14-37-56,-47.8195,-42.13818,24.9677,14
2024-03-27_14-37-57,-47.77152,-42.00303,27.35218,14
2024-03-27_14-37-57,-47.6733,-41.76825,30.15045,15
2024-03-27_14-37-58,-47.61546,-41.69185,29.09992,16
2024-03-27_14-37-58,-47.58813,-41.54699,20.27978,14
2024-03-27_14-37-59,-47.50362,-41.35926,25.81254,14
2024-03-27_14-37-59,-47.30587,-40.87697,27.08935,13
2024-03-27_14-38-00,-47.11796,-40.40437,22.87815,12
2024-03-27_14-38-00,-47.03278,-39.95665,17.82195,12
2024-03-27_14-38-01,-46.92371,-39.54919,21.2716,13
2024-03-27_14-38-01,-46.58706,-39.01264,40.2824,12
2024-03-27_14-38-02,-46.00102,-38.62961,65.71459,13
2024-03-27_14-38-02,-45.71386,-38.50511,72.56718,13
2024-03-27_14-38-03,-45.50556,-38.39557,62.9339,12
2024-03-27_14-38-03,-45.46905,-38.34975,51.98087,12
2024-03-27_14-38-04,-45.40396,-38.41996,67.89487,12
2024-03-27_14-38-04,-45.32001,-38.46578,83.46333,14
2024-03-27_14-38-05,-44.90858,-38.4611,84.0696,15
2024-03-27_14-38-05,-44.44109,-38.44289,72.49742,14
2024-03-27_14-38-06,-44.04467,-38.39007,68.17901,12
2024-03-27_14-38-06,-43.39198,-38.22928,67.04558,11
2024-03-27_14-38-07,-42.87762,-38.10005,67.19788,10
2024-03-27_14-38-07,-42.45377,-37.99849,65.51745,9
2024-03-27_14-38-08,-41.62494,-37.72691,65.46735,7
2024-03-27_14-38-08,-41.18473,-37.62702,68.69395,8
2024-03-27_14-38-09,-40.81733,-37.6088,79.51476,7
2024-03-27_14-38-09,-40.33709,-37.58472,75.49174,7
2024-03-27_14-38-10,-39.64287,-37.52599,71.88957,7
2024-03-27_14-38-10,-39.10601,-37.45077,68.16158,8
2024-03-27_14-38-11,-38.53579,-37.28799,70.7019,7
2024-03-27_14-38-11,-38.02299,-37.18915,68.38661,7
2024-03-27_14-38-12,-37.19376,-37.03013,68.0281,5
2024-03-27_14-38-12,-36.67595,-36.87074,63.57883,7
2024-03-27_14-38-13,-36.37464,-36.76804,59.75422,7
2024-03-27_14-38-13,-35.57627,-36.59712,78.8944,8
2024-03-27_14-38-14,-34.96184,-36.54053,76.51619,8
2024-03-27_14-38-14,-34.32579,-36.29977,59.78376,8
2024-03-27_14-38-15,-33.84509,-35.83631,31.67333,11
2024-03-27_14-38-15,-33.60944,-35.38934,9.372512,9
2024-03-27_14-38-16,-33.56627,-34.84882,6.235488,9
2024-03-27_14-38-16,-33.63387,-34.26649,10.87998,9
2024-03-27_14-38-17,-33.60561,-33.86905,11.80821,9
2024-03-27_14-38-17,-33.5937,-33.47445,12.82389,9
2024-03-27_14-38-18,-33.55959,-32.84826,11.57782,9
2024-03-27_14-38-18,-33.57614,-32.09578,9.942774,9
2024-03-27_14-38-19,-33.63136,-31.75027,2.565422,10
2024-03-27_14-38-19,-33.7028,-31.02204,5.860908,10
2024-03-27_14-38-20,-33.72639,-30.5112,0.3692726,8
2024-03-27_14-38-20,-33.75777,-29.88195,351.6109,8
2024-03-27_14-38-21,-33.83392,-29.54557,330.2012,8
2024-03-27_14-38-21,-33.89474,-29.3153,306.5169,7
2024-03-27_14-38-22,-33.9138,-29.24965,309.3301,8
2024-03-27_14-38-23,-33.90094,-29.21219,310.5927,8
2024-03-27_14-38-23,-33.88917,-29.19905,313.2567,8
2024-03-27_14-38-24,-33.84224,-29.16322,323.1608,8
2024-03-27_14-38-24,-33.56015,-29.16489,17.3107,8
2024-03-27_14-38-25,-33.58793,-29.17871,31.4302,7
2024-03-27_14-38-25,-33.63576,-29.19027,20.33846,7
2024-03-27_14-38-26,-33.6361,-29.18149,19.3311,7
2024-03-27_14-38-26,-33.61547,-29.24351,27.60551,9
2024-03-27_14-38-27,-33.58969,-29.25144,47.92453,8
2024-03-27_14-38-27,-33.69164,-29.22236,2.935832,8
