2024-03-27_14-49-24_player-2haptics maze.txt,id1=15,id2=4,03:17:27
2024-03-27_14-49-49,47.05811,47.8565,346.0734,5
2024-03-27_14-49-50,46.54154,48.5573,312.0337,5
2024-03-27_14-49-51,44.5533,48.29386,302.2904,5
2024-03-27_14-49-52,41.5601,47.83129,302.9466,5
2024-03-27_14-49-53,38.60225,47.457,300.653,9
2024-03-27_14-49-54,36.02636,46.60903,296.6408,11
2024-03-27_14-49-55,33.15022,46.29972,290.266,13
2024-03-27_14-49-56,32.1288,44.6862,294.6163,12
2024-03-27_14-49-57,29.76458,43.65992,293.6429,12
2024-03-27_14-49-58,28.67898,41.38581,284.0566,13
2024-03-27_14-50-00,27.82751,40.31094,283.0726,11
2024-03-27_14-50-01,27.72616,37.48347,283.254,10
2024-03-27_14-50-02,27.21964,34.68813,286.2661,8
2024-03-27_14-50-03,25.58456,33.57438,305.6559,9
2024-03-27_14-50-04,24.50878,33.81105,319.2695,9
2024-03-27_14-50-05,26.11126,34.70825,337.9923,11
2024-03-27_14-50-06,27.08573,36.16448,328.92,11
2024-03-27_14-50-07,28.0525,38.72528,332.9354,8
2024-03-27_14-50-08,28.11568,40.08466,342.6206,8
2024-03-27_14-50-09,29.31962,42.12071,343.5813,9
2024-03-27_14-50-10,31.2618,42.10596,1.394053,10
2024-03-27_14-50-11,31.46564,42.09821,349.4945,9
2024-03-27_14-50-12,31.83293,43.43063,325.9957,9
2024-03-27_14-50-13,32.29505,45.54531,345.3487,12
2024-03-27_14-50-14,32.94469,45.02613,305.8628,10
2024-03-27_14-50-15,32.90158,42.41067,278.3901,10
2024-03-27_14-50-16,33.07505,39.7766,297.2665,13
2024-03-27_14-50-17,35.32843,38.63867,346.7173,13
2024-03-27_14-50-18,37.34267,40.14437,349.27,14
2024-03-27_14-50-19,38.06974,39.41027,3.248376,12
2024-03-27_14-50-20,40.08222,38.89267,342.8897,13
2024-03-27_14-50-21,42.23987,40.40323,343.5435,12
2024-03-27_14-50-22,43.14897,40.79775,349.4436,11
2024-03-27_14-50-23,43.50009,41.45681,350.1387,11
2024-03-27_14-50-24,44.97752,41.54015,355.549,11
2024-03-27_14-50-25,46.56938,39.32288,280.3058,11
2024-03-27_14-50-26,46.82305,38.35138,278.2146,11
2024-03-27_14-50-27,46.90087,36.96344,278.2657,12
2024-03-27_14-50-28,47.30465,34.0325,271.0932,12
2024-03-27_14-50-29,47.45276,31.42542,273.1113,12
2024-03-27_14-50-30,47.26113,28.86845,281.4467,11
2024-03-27_14-50-31,47.08665,25.80315,282.6634,9
2024-03-27_14-50-32,46.95815,22.71033,281.2781,10
2024-03-27_14-50-33,46.62645,19.95548,287.2384,11
2024-03-27_14-50-35,45.0988,17.47443,297.4613,9
2024-03-27_14-50-36,44.711,17.18635,294.899,8
2024-03-27_14-50-37,44.76217,17.29129,289.2596,8
2024-03-27_14-50-38,44.62011,17.27316,305.6714,8
2024-03-27_14-50-39,43.81681,17.29183,305.9451,8
2024-03-27_14-50-40,41.00534,17.93091,307.8738,8
2024-03-27_14-50-41,38.28894,19.07574,311.2314,9
2024-03-27_14-50-42,36.52464,20.17933,312.5995,10
2024-03-27_14-50-43,34.67111,21.56503,301.7563,9
2024-03-27_14-50-44,31.86959,22.04787,305.6893,8
2024-03-27_14-50-45,29.38002,23.06462,315.7604,8
2024-03-27_14-50-46,27.00199,24.05743,300.079,8
2024-03-27_14-50-47,25.17813,23.81038,308.136,7
2024-03-27_14-50-48,22.71476,24.20935,311.4078,7
2024-03-27_14-50-49,21.42515,25.13127,312.6499,6
2024-03-27_14-50-50,20.27742,25.98319,303.0768,7
2024-03-27_14-50-51,19.62453,26.78244,299.9112,9
2024-03-27_14-50-52,19.60077,26.85382,314.0754,10
2024-03-27_14-50-53,19.61296,26.85414,316.3152,10
2024-03-27_14-50-54,19.58506,26.89798,317.6193,10
2024-03-27_14-50-55,19.55182,26.94851,318.9261,10
2024-03-27_14-50-56,18.5676,28.91035,323.5483,10
2024-03-27_14-50-57,17.86205,29.72216,325.818,10
2024-03-27_14-50-58,17.91111,32.53816,326.0735,10
2024-03-27_14-50-59,17.94726,35.34512,330.6066,8
2024-03-27_14-51-00,19.21693,37.64145,337.5299,9
2024-03-27_14-51-01,20.6913,39.26238,337.4219,9
2024-03-27_14-51-02,21.51552,41.67634,323.796,9
2024-03-27_14-51-03,21.32378,44.15199,322.692,11
2024-03-27_14-51-04,20.28261,46.56488,309.5667,10
2024-03-27_14-51-05,17.74866,46.87471,303.9853,11
2024-03-27_14-51-06,14.82978,46.63293,302.1372,11
2024-03-27_14-51-07,11.81515,46.62237,301.4095,9
2024-03-27_14-51-08,9.117539,46.61279,297.9733,9
2024-03-27_14-51-09,6.382162,45.79917,301.7612,7
2024-03-27_14-51-10,5.113335,46.23025,293.5168,7
2024-03-27_14-51-11,5.216872,45.59983,309.2732,7
2024-03-27_14-51-12,4.491939,47.28468,309.0814,8
2024-03-27_14-51-13,2.366353,46.95326,286.3932,10
2024-03-27_14-51-15,2.070264,45.25194,278.6107,9
2024-03-27_14-51-16,1.846863,42.46493,281.0478,9
2024-03-27_14-51-17,1.012831,39.75844,288.5202,9
2024-03-27_14-51-18,-0.3588544,38.79175,310.482,8
2024-03-27_14-51-19,-2.589087,39.46766,314.1232,8
2024-03-27_14-51-20,-4.004253,41.51708,314.2666,7
2024-03-27_14-51-21,-6.446533,41.67688,292.7645,7
2024-03-27_14-51-22,-7.325874,39.63883,279.5741,7
2024-03-27_14-51-23,-7.291632,38.23537,282.1637,7
2024-03-27_14-51-24,-7.446901,37.11409,284.0947,7
2024-03-27_14-51-25,-7.619977,34.72485,280.5241,4
2024-03-27_14-51-26,-7.559387,31.91489,279.7074,4
2024-03-27_14-51-27,-7.131126,29.39274,318.528,3
2024-03-27_14-51-28,-6.933179,27.01256,283.927,4
2024-03-27_14-51-29,-7.308707,24.44519,275.163,4
2024-03-27_14-51-30,-7.314615,21.4247,275.2287,4
2024-03-27_14-51-31,-7.354595,18.4902,282.6769,5
2024-03-27_14-51-32,-7.845285,15.83614,282.5078,3
2024-03-27_14-51-33,-9.305882,13.83209,298.4541,4
2024-03-27_14-51-34,-10.03509,13.42784,302.9591,4
2024-03-27_14-51-35,-9.969616,13.3788,283.6529,2
2024-03-27_14-51-36,-9.979639,13.39433,284.7858,2
2024-03-27_14-51-37,-10.08168,13.47784,305.5884,2
2024-03-27_14-51-38,-11.01259,13.79145,308.4361,2
2024-03-27_14-51-39,-11.7156,14.12678,312.944,2
2024-03-27_14-51-40,-13.21632,15.5441,318.693,4
2024-03-27_14-51-41,-15.34472,16.81327,303.6218,3
2024-03-27_14-51-42,-16.49574,16.70796,306.2546,4
2024-03-27_14-51-43,-16.50608,16.70539,308.0016,3
2024-03-27_14-51-44,-16.43929,16.97109,321.4174,3
2024-03-27_14-51-45,-16.81321,16.43922,279.7043,4
2024-03-27_14-51-46,-15.20477,16.59112,351.8163,4
2024-03-27_14-51-47,-13.73237,15.58563,287.6515,4
2024-03-27_14-51-49,-14.60518,13.94814,288.8116,3
2024-03-27_14-51-50,-15.25768,13.53559,308.3358,3
2024-03-27_14-51-51,-16.00801,14.02275,331.4945,2
2024-03-27_14-51-52,-14.42629,14.28571,337.1912,2
2024-03-27_14-51-53,-13.51644,16.60541,321.5532,4
2024-03-27_14-51-54,-15.14152,17.65668,304.5418,4
2024-03-27_14-51-55,-17.69838,17.81634,308.0513,4
2024-03-27_14-51-56,-20.27654,18.81306,313.6133,4
2024-03-27_14-51-57,-21.41299,19.12606,329.79,4
2024-03-27_14-51-58,-20.88068,19.21334,326.7928,3
2024-03-27_14-51-59,-20.62121,19.01544,320.7264,5
2024-03-27_14-52-00,-20.65131,19.03197,321.2575,4
2024-03-27_14-52-01,-21.3462,19.05552,316.7787,6
2024-03-27_14-52-02,-22.13738,20.97942,331.9305,5
2024-03-27_14-52-03,-20.57671,22.07183,340.0581,5
2024-03-27_14-52-04,-21.54686,21.43706,285.7144,7
2024-03-27_14-52-05,-22.0028,20.67744,275.5284,6
2024-03-27_14-52-06,-21.47067,18.81897,343.9954,6
2024-03-27_14-52-07,-18.89163,18.2066,349.9437,7
2024-03-27_14-52-08,-16.04686,17.71749,347.5675,7
2024-03-27_14-52-09,-14.4461,16.99064,282.3084,6
2024-03-27_14-52-10,-14.25919,17.08373,343.8572,6
2024-03-27_14-52-11,-13.68572,18.96592,326.2291,7
2024-03-27_14-52-12,-13.08873,18.02199,286.2789,6
2024-03-27_14-52-13,-14.44842,16.4425,289.0226,7
2024-03-27_14-52-14,-13.766,14.96119,287.4026,6
2024-03-27_14-52-15,-13.742,13.43061,283.6722,5
2024-03-27_14-52-16,-15.24618,11.72393,309.589,6
2024-03-27_14-52-17,-15.26706,11.49439,290.9538,7
2024-03-27_14-52-18,-15.27883,11.44655,283.6313,7
2024-03-27_14-52-19,-15.15296,11.57764,324.3784,5
2024-03-27_14-52-20,-13.36732,12.32908,327.1685,7
2024-03-27_14-52-21,-13.22197,12.72711,323.787,6
2024-03-27_14-52-22,-13.20052,12.80598,324.8272,6
2024-03-27_14-52-23,-12.96899,12.70747,343.6703,5
2024-03-27_14-52-24,-11.55557,13.47297,327.5766,3
2024-03-27_14-52-25,-10.62854,13.83051,350.1132,3
2024-03-27_14-52-26,-9.379001,14.32362,334.0403,4
2024-03-27_14-52-27,-8.604035,16.2477,331.9439,7
2024-03-27_14-52-28,-8.310314,17.31578,329.3204,6
2024-03-27_14-52-29,-8.323711,17.39244,326.56,4
2024-03-27_14-52-30,-8.326152,19.4722,324.9524,6
2024-03-27_14-52-31,-8.112959,22.47754,323.0457,6
2024-03-27_14-52-32,-8.01946,25.29746,326.6567,4
2024-03-27_14-52-34,-7.015365,26.73794,328.0702,3
2024-03-27_14-52-35,-7.844778,28.59732,319.0871,4
2024-03-27_14-52-36,-9.500468,31.17919,311.1967,5
2024-03-27_14-52-37,-11.03692,31.91174,303.5003,4
2024-03-27_14-52-38,-13.85827,31.6599,301.5275,4
2024-03-27_14-52-39,-14.79357,31.50947,297.2491,7
2024-03-27_14-52-40,-16.99189,31.19784,288.2498,5
2024-03-27_14-52-41,-17.48809,29.18585,286.0559,5
2024-03-27_14-52-42,-19.5443,28.49961,308.1822,8
2024-03-27_14-52-43,-22.11976,28.60513,304.5939,3
2024-03-27_14-52-44,-22.95625,28.49768,300.6821,3
2024-03-27_14-52-45,-23.70995,28.26687,300.9151,3
2024-03-27_14-52-46,-26.48384,27.48924,300.6047,5
2024-03-27_14-52-47,-28.95138,26.85644,299.7048,3
2024-03-27_14-52-48,-31.17303,26.37325,282.0954,2
2024-03-27_14-52-49,-31.10012,26.30022,284.3253,3
2024-03-27_14-52-50,-32.99633,25.91533,290.4256,5
2024-03-27_14-52-51,-32.62176,23.45596,289.1708,4
2024-03-27_14-52-52,-30.79163,22.98082,350.2825,1
2024-03-27_14-52-53,-28.93833,21.662,280.2221,5
2024-03-27_14-52-54,-28.56344,19.2253,277.8722,3
2024-03-27_14-52-55,-28.5191,19.06343,277.1038,3
2024-03-27_14-52-56,-28.53317,19.03743,277.7922,3
2024-03-27_14-52-57,-28.09374,17.29454,274.5544,1
2024-03-27_14-52-58,-27.03759,14.82601,278.2945,2
2024-03-27_14-52-59,-26.52068,13.78783,356.5928,2
2024-03-27_14-53-00,-25.46711,12.86644,274.4411,2
2024-03-27_14-53-01,-25.45317,12.83781,274.8733,1
2024-03-27_14-53-02,-25.51764,12.72233,277.0607,1
2024-03-27_14-53-03,-25.17008,12.60734,323.3205,1
2024-03-27_14-53-04,-23.23114,11.59219,313.3497,0
2024-03-27_14-53-05,-23.11074,9.479007,284.1919,0
2024-03-27_14-53-06,-23.08626,9.185213,268.3083,0
2024-03-27_14-53-07,-23.09447,9.193826,272.0822,0
2024-03-27_14-53-08,-23.09984,9.2212,276.5678,0
2024-03-27_14-53-10,-23.06581,9.162368,1.315334,0
